Rank,Team,ELO,FormPoints,AvgGoalsFor,AvgGoalsAgainst
1,Arsenal,1766.7,3.0,1.6,0.2
2,Man City,1746.4,1.6,2.2,1.2
3,Liverpool,1657.7,1.0,1.8,2.0
4,Man United,1651.4,2.6,2.2,1.0
5,Aston Villa,1639.2,1.4,1.8,1.6
6,Bournemouth,1617.1,1.8,1.6,0.8
7,Brighton,1584.9,1.2,1.4,1.4
8,Chelsea,1583.0,0.8,1.0,2.0
9,Brentford,1576.1,1.0,1.4,1.6
10,Newcastle,1569.3,1.4,1.4,1.2
11,Fulham,1555.8,1.4,0.8,1.0
12,Nott'm Forest,1551.1,1.6,2.4,1.2
13,Sunderland,1546.1,1.6,1.2,1.6
14,Everton,1545.4,0.4,1.4,2.2
15,Crystal Palace,1541.2,0.4,1.0,2.4
16,Leeds,1521.5,1.6,1.4,1.4
17,West Ham,1506.9,1.2,1.2,1.6
18,Tottenham,1491.3,2.0,1.2,0.8
19,Cardiff,1431.6,1.2,1.2,1.2
20,Stoke,1430.3,1.2,1.0,1.0
21,Wolves,1424.3,0.6,0.6,1.4
22,Swansea,1423.5,0.0,0.2,2.0
23,Luton,1413.9,0.2,1.2,3.0
24,Leicester,1403.6,1.4,1.2,1.4
25,Ipswich,1403.3,0.2,0.6,2.2
26,West Brom,1389.3,0.2,1.0,2.4
27,Burnley,1375.2,0.4,0.8,1.6
28,Watford,1355.7,0.2,0.6,2.0
29,Sheffield United,1332.1,0.0,0.8,3.2
30,Huddersfield,1329.9,0.4,0.6,2.6
31,Norwich,1321.8,0.2,0.2,3.0
32,Southampton,1314.4,0.2,0.4,1.6
